Video,action,Context
P03_stereo,coffee_ch1,"At the beginning of the video, there is a man in a maroon hoodie. A girl in a blue checkered shirt is behind the man.Two laptops are on the table behind the man. Kitchen utensils are on the brown color countertop next to the wall. There are three lights under the top kitchen counter. A coffee kettle is on the countertop in front of the man. There is a window on the left side of the man standing with a blue kittle and an indoor plant on the windowsill . A picture of a bottle is on the wall next to the window. Behind the man there are different books on the shelve on the wall under that different kitchen appliances & utensils are present. The girl leaves. A cup appears on the countertop. Camera is on the right side of the countertop behind the tap."
P03_stereo,coffee_ch0,"At the beginning of the video, there is a man in a maroon hoodie. A girl in a blue checkered shirt is behind the man. Two laptops are on the table behind the man. Kitchen utensils are on the brown color countertop next to the wall. There are three lights under the top kitchen counter. A coffee kettle is on the countertop in front of the man. There is a window on the left side of the man standing with a blue kittle and an indoor plant on the windowsill A picture of a bottle is on the wall next to the window. Behind the man there are different books on the shelve on the wall under that different kitchen appliances & utensils are present. The girl leaves. A cup appears on the countertop. Camera is on the right side of the countertop."
P03_stereo,cereals_ch0,"At the beginning of the video, there is a man in a maroon hoodie. A girl in a blue checkered shirt is behind the man.  Two laptops are on the table behind the man. Kitchen utensils are on the brown color countertop next to the wall. There are three lights under the top kitchen counter. A juice box is on the countertop in front of the man. There is a window on the left side of the man standing with a blue kittle on the windowsill A picture of a bottle is on the wall next to the window. Behind the man there are different books on the shelve on the wall under that different kitchen appliances & utensils are present. The girl leaves. A bowl and cereal in a plastic bag appear later in the video. Camera is on the right side of the countertop."
P03_stereo,milk_ch0,"At the beginning of the video, there is a man in a maroon hoodie. A girl in a blue checkered shirt is behind the man. Two laptops are on the table behind the man. Kitchen utensils are on the brown color countertop next to the wall. There are three lights under the top kitchen counter. A black electric kettle is on the countertop in front of the man. There is a window on the left side of the man standing with a blue kittle and an indoor plant on the windowsill A picture of a bottle is on the wall next to the window. Behind the man there are different books on the shelve on the wall under that different kitchen appliances & utensils are present. The girl leaves. A black & white stip mug appears on the countertop. Camera is on the right side of the countertop."
P03_webcam01,sandwich,"At the beginning of the video, there is a man in a maroon hoodie. Two laptops are on the table behind the man. A girl in a blue checkered shirt is behind the man leaning on the laptop. Kitchen utensils are on the brown color countertop next to the wall. There are three lights under the top kitchen counter. There is a window on the left side of the man standing with a blue kittle and an indoor plant are on the windowsill. A picture on the wall next to the window. Behind the man there are different books on the shelve on the wall under that different kitchen appliances & utensils are present. A blue plate is on the brown color kitchen counter.  The girl left the kitchen. Man in a brown hoodie left and reappeared. A knife appeared on the countertop later in the video. Camera is on the right side of the countertop behind the tap. "
P03_webcam01,coffee,"At the beginning of the video, there is a man in a maroon hoodie. Two laptops are on the table behind the man. Kitchen utensils are on the brown color countertop next to the wall. There are three lights under the top kitchen counter. A container is on the countertop in front of the man. There is a window on the left side of the man standing with a blue kittle on the windowsill A picture of a bottle is on the wall next to the window. Behind the man there are different books on the shelve on the wall under that different kitchen appliances & utensils are present. The girl leaves. A white cup appear on the countertop. Man in brown hoodie left and reappeared. Camera is on the right side of the countertop behind the tap."
P03_webcam01,cereals,"At the beginning of the video, there is a man in a maroon hoodie. A girl in a blue check shirt is behind the man.  Two laptops are on the table behind the man. Kitchen utensils are on the brown color countertop next to the wall. There are three lights under the top kitchen counter. A container is on the countertop in front of the man. There is a window on the left side of the man standing with a blue kittle on the windowsill A picture is on the wall next to the window. Behind the man there are different books on the shelve on the wall under that different kitchen appliances & utensils are present. A bowl and oats in a plastic bag appear on the countertop. Camera is on the right side of the countertop behind the tap."
P03_webcam01,salat,"At the beginning of the video, there is a man in a maroon hoodie. Two laptops are on the table behind the man. Kitchen utensils are on the brown color countertop next to the wall. There are three lights under the top kitchen counter. There is a window on the left side of the man standing with a blue kittle on the windowsill. A picture on the wall next to the window. Behind the man there are different books on the shelve on the wall under that different kitchen appliances & utensils are present. A blue electric kettle and cutting board are on the brown color kitchen counter. An orange and an apple are on the countertop. An orange bowl on the countertop and a cutting knife on the cutting board appears later in the video.Blue electric kettle gets removed.  Man in a brown hoodie left and reappeared. Camera is on the right side of the countertop behind the tap. "
P03_webcam01,friedegg,"At the beginning of the video, there is a man in a maroon hoodie. Two laptops areon the table behind the man. Kitchen utensils are on the brown color countertop next to the wall. There are three lights under the top kitchen counter. There is a window on the left side of the man standing with a blue kittle on the windowsill. A picture on the wall next to the window. Behind the man there are different books on the shelve on the wall under that different kitchen appliances & utensils are present. A glass container, an egg carton, a black plate, and a white bowl are on the brown color kitchen counter. Frying pan on the stovetop. Camera is on the right side of the countertop behind the tap."
P03_webcam01,milk,"At the beginning of the video, there is a man in a maroon hoodie. Two laptops are on the table behind the man. Kitchen utensils are on the brown color countertop next to the wall. There are three lights under the top kitchen counter. A yellow container is on the countertop in front of the man. There is a window on the left side of the man standing with a blue kittle on the windowsill. A picture on the wall next to the window. Behind the man there are different books on the shelve on the wall under that different kitchen appliances & utensils are present.  A mug appears on the countertop. Man in a brown hoodie left and reappeared. Camera is on the right side of the countertop behind the tap. Camera is on the right side of the countertop behind the tap."
P03_webcam01,tea,"At the beginning of the video, there is a man in a maroon hoodie. Two laptops are on the table behind the man. Kitchen utensils are on the brown color countertop next to the wall. There are three lights under the top kitchen counter. There is a window on the left side of the man standing with a blue kittle on the windowsill. A picture on the wall next to the window. Behind the man there are different books on the shelve on the wall under that different kitchen appliances & utensils are present. A blue electric kettle is on the brown color kitchen counter. A blue & white strips mug appeared on the countertop later in the video. Camera is on the right side of the countertop behind the tap."
P03_webcam02,milk,"At the beginning of the video, there is a person in a brown hoodie. A girl in a white and grey check shirt is behind the man leaning. A coffee kettle and a container are on the brown color kitchen counter. Some red, yellow, and green checkered colored clothes on the door knob. The girl left the kitchen. A white fridge is behind the person.  A white mug and a spoon appear on the countertop later in the video.  Second person re-entered in the kitchen. Camera is on the left side countertop."
P03_webcam02,coffee,"At the beginning of the video, there is a person in a brown hoodie. A girl in a  white and grey checkered shirt is behind the man leaning. A coffee kettle is on the brown color kitchen counter. Some red, green, and orange checkered colored clothes on the door knob. A white bowl is on the cutting board next to the wall. The girl left the kitchen. A white mug appears on the countertop later in the video. A white fridge behind the person. A white bowl is on the cutting board next to the wall.  Second person re-entered in the kitchen. Camera is on the left side countertop. "
P03_webcam02,sandwich,"At the beginning of the video, there is a person in a brown hoodie. A blue plate and butter is on the brown color kitchen counter. A person grey and black checkered shirt is leaning behind the first person and leaves afterwards. Some red, yellow, and green checkered colored clothes on the door knob. A white bowl is on the counter next to the wall.  Second person  re-entered in the kitchen. Camera is on the left side countertop."
P03_webcam02,salat,"At the beginning of the video, there is a person in a brown hoodie. A blue electric kettle and cutting board are on the brown color kitchen counter. Some red, yellow, and green checkered colored clothes on the door knob. Blue electric kettle disappears. An orange and an apple are on the countertop. A white bowl is on the counter next to the wall. An orange bowl on the countertop and a cutting knife appears on the cutting board later in the video. A white fridge behind the person.  Second person re-entered in the kitchen."
P03_webcam02,friedegg,"At the beginning of the video, there is a person in a brown hoodie. A girl in a white and grey check shirt is behind the man leaning. A coffee kettle, a glass container, an egg carton, a black plate, and a Tetra pack are on the brown color kitchen counter.A frying pan is on the stovetop. Some red,and green checkered colored clothes on the door knob. The girl left the kitchen. A white mug appears on the countertop later in the video. A white fridge behind the person. A white bowl is on the cutting board next to the wall.  Second, personre-entered in the kitchen. Camera is on the left side countertop. "
P03_webcam02,cereals,"At the beginning of the video, there is a person in a brown hoodie. A coffee kettle and a Tetra pack are on the brown color kitchen counter. Some red, green, and orange checkered colored clothes are on the doorknob. A bowl & Oats in a plastic bag appears on the countertop later in the video. A girl in a white & grey checkered shirt enters the kitchen behind the person. Camera is on the left side countertop."
P03_webcam02,tea,"At the beginning of the video, there is a person in a brown hoodie. A person in grey and black checkered shirt is leaning behind the first person and leaves afterward. A blue electric kettle and tea bag carton is on the brown color kitchen counter. A white bowl is on the counter next to the wall. A white and blue mug appears on the countertop later in the video. Some red, yellow, and green checkered colored clothes on the door knob. A white fridge is behind the person. other person re-entered the kitchen.Camera is on the left side countertop."
P04_cam01,sandwich,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. A laptop and an egg carton are behind the man on a cupboard. Frying pan and a spatula on the stove. A transparent jug, a plastic food pouch, a white bowl, and some kitchens use things on the white countertop. A white cutting board leaning against the wall on the countertop. Switch on the wall beside the stove. Man left and reappeared with a plate in hand. Man left at the end of the video. Camera is on the right side of the stove. "
P04_cam01,scrambledegg,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. A laptop and an egg carton are behind the man on a cupboard. Frying pan on the stove. A transparent jug, a white bowl, a food pouch, and some kitchens use things on the white countertop. A white cutting board leaning against the wall on the countertop. Switch on the wall beside the stove. Man left and reappeared with a plate in hand. Man left at the end of the video. Camera is on the right side of the stove."
P04_cam01,milk,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. A laptop behind the man on a cupboard. Frying pan on the stove. A transparent jug, a food pouch, a cup and some kitchens use things on the white countertop. A white cutting board leaning against the wall on the countertop. Switch on the wall beside the stove. Man left and reappeared with a plate in hand. Man left at the end of the video. Camera is on the right side of the stove. "
P04_cam01,pancake,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. A laptop and an egg carton are behind the man on a cupboard. Frying pan on the stove. A transparent jug and, some kitchens use things on the white countertop. A white cutting board leaning against the wall on the countertop. Switch on the wall beside the stove. A white bowl and food pouch appeared on the countertop. Man left and reappeared with a plate in hand.  Man left at the end of the video. Camera is on the right side of the stove. "
P04_cam01,cereals,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. A laptop is behind the man on a cupboard. Frying pan on the stove. A transparent container, a transparent jug, a white bowl, and some kitchens use things on white countertop. Switch on the wall beside the stove. Man left at the end of the video. Camera is on the right side of the stove. "
P04_cam01,tea,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. A laptop behind the man on a cupboard. Frying pan on the stove. A transparent jug, a food pouch, a cup and some kitchens use things on the white countertop. A white cutting board leaning against the wall on the countertop. Switch on the wall beside the stove. Man left and reappeared with a plate in hand. Man left at the end of the video. Camera is on the right side of the stove. "
P04_cam01,friedegg,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. A laptop and an egg carton are behind the man on a cupboard. Frying pan and a spatula on the stove. A transparent jug, a plastic food pouch, a white bowl, and some kitchens use things on the white countertop. A white cutting board leaning against the wall on the countertop. Switch on the wall beside the stove. Man left and reappeared with a plate in hand. Man left at the end of the video. Camera is on the right side of the stove. "
P04_stereo,friedegg_ch0,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. A laptop and egg carton behind the man on a cupboard. Frying pan with a spatula is on the stove. A transparent jug, a bottle, a white bowl, a food pouch and some kitchens use things on the white countertop. A white cutting board leaning against the wall on the countertop. Man left and reappeared with a plate in hand. Man left at the end of the video. Camera is on the right side of the stove. "
P04_stereo,pancake_ch0,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. A laptop and egg carton behind the man on a cupboard. Frying pan on the stove. A transparent jug and some kitchens use things on the white countertop.A white cutting board leaning against the wall on the countertop. A white bowl and food pouch appeared on the countertop. Man left and reappeared with a plate in hand. Man left at the end of the video. Camera is on the right side of the stove."
P04_stereo,cereals_ch0,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. A laptop and egg carton behind the man on a cupboard. Frying pan with a spatula on the stove. A transparent jug, a transparent container, a white bowl, a tetra pack, and some kitchens use things on the white countertop. Man left at the end of the video. Camera is on the right side of the stove."
P04_stereo,cereals_ch1,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. A laptop and egg carton behind the man on a cupboard. Frying pan with a spatula on the stove. A transparent jug, a transparent container, a white bowl, a tetra pack, and some kitchens use things on the white countertop. Man left at the end of the video. Camera is on the right side of the stove. "
P04_stereo,scrambledegg_ch1,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. A laptop and egg carton behind the man on a cupboard. Frying pan with a spatula is on the stove. A bottle, a white bowl, a food pouch and some kitchens use things on the white countertop. A white cutting board leaning against the wall on the countertop. Man left and reappeared with a plate in hand. Man left at the end of the video. Camera is on the right side of the stove."
P04_stereo,milk_ch0,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. A laptop and egg carton behind the man on a cupboard. Frying pan with a spatula on the stove. A transparent jug, a white cup and some kitchens use things on the white countertop. A food pouch and spoon appeared on the countertop. Man left at the end of the video. Camera is on the right side of the stove. "
P04_stereo,scrambledegg_ch0,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. A laptop and egg carton behind the man on a cupboard. Frying pan with a spatula is on the stove. A transparent jug, a bottle, a white bowl, a food pouch and some kitchens use things on the white countertop. A white cutting board leaning against the wall on the countertop. Man left and reappeared with a plate in hand. Man left at the end of the video. Camera is on the right side of the stove. "
P04_stereo,friedegg_ch1,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. A laptop and egg carton behind the man on a cupboard. Frying pan with a spatula on the stove. A transparent jug, a white bowl, a food pouch, and some kitchens use things on the white countertop. Man left and reappeared with a plate in hand. Man left at the end of the video. Camera is on the right side of the stove. "
P04_stereo,tea_ch0,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. A laptop and egg carton behind the man on a cupboard. Frying pan with a spatula is on the stove. A transparent jug, a white cup, a tetra pack and some kitchens use things on the white countertop. Man left at the end of the video. Camera is on the right side of the stove. "
P04_stereo,sandwich_ch1,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. A laptop and egg carton behind the man on a cupboard. Frying pan with a spatula is on the stove. A transparent jug, tetra pack, white plate and some kitchens use things on the white countertop. Man left at the end of the video. Camera is on the right side of the stove."
P04_stereo,tea_ch1,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. A laptop and egg carton behind the man on a cupboard. Frying pan with a spatula is on the stove. A transparent jug, a white cup, a tetra pack and some kitchens use things on the white countertop. Man left at the end of the video. Camera is on the right side of the stove. "
P04_stereo,milk_ch1,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. A laptop and egg carton behind the man on a cupboard. Frying pan with a spatula on the stove. A transparent jug, a tetra pack, a white cup and some kitchens use things on the white countertop. A food pouch and spoon appeared on the countertop. Man left at the end of the video. Camera is on the right side of the stove."
P04_stereo,sandwich_ch0,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. A laptop and egg carton behind the man on a cupboard. Frying pan with a spatula is on the stove. A transparent jug, tetra pack, white plate and some kitchens use things on the white countertop. Man left at the end of the video. Camera is on the right side of the stove."
P04_webcam01,pancake,"At the beginning of the video, there is a person with a black sweater & pants. Frying pan on the stove. Liquid dispenser beside the stove. A white bowl on the white countertop. An egg carton and a Tetra pack on a cupboard in front of the counter.  A shelf with different boxes and things on the right side of the stove. A light bulb & microwave on the shelf. A plant and steel trashcan in front of the shelf. A light lamp on the floor in front of the stove.  A white bowl, a food pouch, and a bottle appear on the countertop later in the video.Man left and reappeared with a plate in hand. Man left at the end of the video. Camera is on the top left side of the stove. "
P04_webcam01,friedegg,"At the beginning of the video, there is a person with a black sweater & pants. Frying pan and a spatula on the stove. Liquid dispenser beside the stove. A white bowl with a whisk inside, a bottle, and a food pouch are on the white countertop. An egg carton and a Tetra pack on a cupboard in front of the counter.  A shelf with different boxes and things on the right side of the stove. A light bulb & microwave on the shelf. A plant and steel trashcan in front of the shelf. A light lamp on the floor in front of the stove. Man left and reappeared with a plate in hand. Man left at the end of the video. Camera is on the top left side of the stove. "
P04_webcam01,cereals,"At the beginning of the video, there is a person with a black sweater & pants. Frying pan and a spatula on the stove. Liquid dispenser beside the stove. A transparent container, a white bowl, and a tetra pack, on the white countertop.A shelf with different boxes and things on the right side of the stove. A light bulb & microwave on the shelf. A plant and steel trashcan in front of the shelf. A light lamp on the floor in front of the stove. A wisk hanging on the wall beside the stove. Man left at the end of the video. Camera is on the top left side of the stove. "
P04_webcam01,milk,"At the beginning of the video, there is a person with a black sweater & pants. Frying pan and a spatula on the stove. Liquid dispenser beside the stove. A white cup, and a tetra pack are on the white countertop. A whisk hanging on the wall beside the stove. An egg carton on a cupboard in front of the counter.  A shelf with different boxes and things on the right side of the stove. A light bulb & microwave on the shelf. A plant and steel trashcan in front of the shelf. A light lamp on the floor in front of the stove.  A food pouch and a spoon appear on the countertop later in the video. Man left at the end of the video. Camera is on the top left side of the stove. "
P04_webcam01,scrambledegg,"At the beginning of the video, there is a person with a black sweater & pants. Frying pan with a spatula on the stove. Liquid dispenser beside the stove. A white bowl, Tetra pack,  knife, an orange, and apple pieces on the white countertop. A whisk hanging on the wall beside the stove. A shelf with different boxes and things on the right side of the stove. A light bulb & microwave on the shelf. A plant and steel trashcan in front of the shelf. A light lamp on the floor in front of the stove. Man left at the end of the video. Camera is on the top left side of the stove. "
P04_webcam01,sandwich,"At the beginning of the video, there is a person with a black sweater & pants. Frying pan with a spatula on the stove. Liquid dispenser beside the stove. A white plate, food packet, Tetra pack, and butter tube on the white countertop. A whisk hanging on the wall beside the stove. A shelf with different boxes and things on the right side of the stove. A light bulb & microwave on the shelf. A plant and steel trashcan in front of the shelf. A light lamp on the floor in front of the stove. A butter knife appears on the counter later in the video. Man left at the end of the video. Camera is on the top left side of the stove. "
P04_webcam01,salat,"At the beginning of the video, there is a person with a black sweater & pants. Frying pan with a spatula on the stove. Liquid dispenser beside the stove. A white bowl, Tetra pack,  knife, an orange, and apple pieces on the white countertop. A whisk hanging on the wall beside the stove. A shelf with different boxes and things on the right side of the stove. A light bulb & microwave on the shelf. A plant and steel trashcan in front of the shelf. A light lamp on the floor in front of the stove. Man left at the end of the video. Camera is on the top left side of the stove. "
P04_webcam01,tea,"At the beginning of the video, there is a person with a black sweater & pants. Frying pan with a spatula on the stove. Liquid dispenser beside the stove. A white cup, and a Tetra pack on the white countertop. A whisk hanging on the wall beside the stove. A shelf with different boxes and things on the right side of the stove. A light bulb & microwave on the shelf. A plant and steel trashcan in front of the shelf. A light lamp on the floor in front of the stove. Man left at the end of the video. Camera is on the top left side of the stove. "
P04_webcam02,sandwich,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. Frying pan and a spatula on the stove. A transparent jug, a white plate, a tetra pack, and some kitchens use things on the white countertop. A white cutting board leaning against the wall on the countertop. Switch on the wall beside the stove. Liquid dispenser beside stove. Man left at the end of the video. Camera is on the right side of the stove. "
P04_webcam02,friedegg,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. Frying pan and a spatula on the stove. A transparent jug, food pouch, a white bowl, a bottle and some kitchens use things on the white countertop. A white cutting board leaning against the wall on the countertop. Switch on the wall beside the stove. Liquid dispenser beside stove.Man left and reappeared with a plate in hand. Man left at the end of the video. Camera is on the right side of the stove. "
P04_webcam02,milk,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. Frying pan and a spatula on the stove. A transparent jug, a white bowl, a tetra pack, a white cup and some kitchens use things on the white countertop. A white cutting board leaning against the wall on the countertop. Switch on the wall beside the stove. Liquid dispenser beside stove.A food pouch and a spoon appeared on the countertop later in the video. Man left at the end of the video. Camera is on the right side of the stove. "
P04_webcam02,pancake,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. Frying pan and a spatula on the stove. A transparent jug and some kitchens use things on the white countertop. A white cutting board leaning against the wall on the countertop. Switch on the wall beside the stove. A white bowl, a bottle and a food pouch appeared on the countertop later in the video. Liquid dispenser beside stove. Man left and reappeared with a plate in hand. Man left at the end of the video. Camera is on the right side of the stove. "
P04_webcam02,salat,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. Frying pan and a spatula on the stove. A transparent jug, a white bowl, an orange, a knife, and some kitchens use things on the white countertop. A white cutting board leaning against the wall on the countertop. Liquid dispenser beside stove.Switch on the wall beside the stove. Man left at the end of the video. Camera is on the right side of the stove."
P04_webcam02,tea,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. Frying pan and a spatula on the stove. A transparent jug, a white cup, a tetra pack, and some kitchens use things on the white countertop. A white cutting board leaning against the wall on the countertop. Switch on the wall beside the stove. Liquid dispenser beside stove. Man left at the end of the video. Camera is on the right side of the stove. "
P04_webcam02,scrambledegg,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. Frying pan and a spatula on the stove. A transparent jug, a white bowl, a food pouch, a bottle, and some kitchens use things on the white countertop. A white cutting board leaning against the wall on the countertop. Liquid dispenser beside the stove. Man left and reappeared with a plate in hand. Man left at the end of the video. Camera is on the right side of the stove. "
P04_webcam02,cereals,"At the beginning of the video, there is a man with a black sweater & pants with a ponytail. Frying pan and a spatula on the stove. A transparent jug, a transparent container, a white bowl, a tetra pack and some kitchens use things on the white countertop. A white cutting board leaning against the wall on the countertop. Switch on the wall beside the stove. Liquid dispenser beside stove.Man left at the end of the video. Camera is on the right side of the stove. "
P05_cam01,juice,"At the beginning of the video, is a man with glasses in a black jersey and blue jeans. An orange, red juice extractor, and some small bottles and a white bowl are on the steel countertop. A picture on the side of the top cabinet. Knife block with knives is present on the counter beside the cooktop. White fridge and a shelf in the back along the wall. A glass door is on the right side of the countertop. A woman in a maroon top and jeans leaves in the beginning and reappears standing in the doorway later in the video. A blue cutting board and a glass appear later in the video. Camera is on the left side of the cooktop."
P05_cam01,pancake,"At the beginning of the video, is a man with glasses in a black jersey and blue jeans. Some small bottles and a white bowl with a spoon are on the steel countertop. A picture on the side of the top cabinet. Knife block with knives and an egg carton are present on the counter beside the cooktop. White fridge and a shelf in the back along the wall. A glass door is on the right side of the countertop. A woman in a black top and jeans leaves in the beginning and reappears standing in the doorway later in the video. A frying pan on the cooktop. Man disappears and reappears.  A Tetra pack, a spoon, and a white plate appear on the countertop later in the video. Camera is on the left side of the cooktop."
